"x","y"
74.0833,16.631
69.5476,11.3393
67.2798,11.3393
65.0119,9.82738
57.1812,8.56027
49.2501,9.23487
41.5774,11.3393
37.7976,13.6071
31.2623,16.0313
24.9464,18.8988
19.6548,26.4583
19.6548,29.4821
18.8988,32.506
19.6548,32.506
19.6548,33.2619
20.4107,34.0179
26.4583,37.0417
31.75,40.0655
39.9149,38.9363
47.625,35.5298
53.4216,34.2861
55.9405,34.7738
62.744,32.506
68.7917,31.75
74.6767,28.7675
79.375,27.2143
86.8847,25.7493
94.494,25.7024
101.298,28.7262
104.321,28.7262
108.878,35.9557
108.101,44.6012
105.833,46.1131
106.589,48.381
104.195,54.3226
99.0298,58.2083
94.494,58.9643
88.4228,61.1663
82.3988,63.5
74.0696,66.1012
65.7679,68.7917
58.2083,71.8155
58.2083,74.0833
57.4524,77.8631
57.4897,86.4646
61.9881,93.7381
65.0119,95.25
66.5238,96.7619
69.5476,96.7619
77.1071,97.5179
85.3884,95.4288
93.4261,92.5283
101.298,89.2024
109.657,85.9063
117.929,82.3988
121.708,80.131
128.512,78.619
134.225,76.0713
139.851,73.3274
145.899,71.0595
150.435,68.0357
157.238,67.2798
165.839,65.1228
174.625,64.256
182.089,65.5175
188.232,69.5476
188.854,77.3002
185.964,84.6667
182.858,91.0355
178.065,96.2018
171.601,99.0298
163.65,100.476
155.726,102.054
147.757,105.388
139.095,106.589
129.645,107.343
120.196,108.101
111.125,109.613
104.315,110.042
97.5047,110.473
90.7143,111.125
82.6271,113.3
74.8393,116.417
66.1291,118.626
57.4524,120.952
51.4048,124.732
42.6075,127.347
35.5298,131.536
29.4821,133.804
23.6184,138.164
19.5189,144.192
17.3869,151.19
15.875,157.238
19.4358,162.961
24.9464,167.065
32.8788,170.733
41.5774,171.601
47.625,170.089
52.4063,170.377
58.9643,168.577
65.991,166.089
72.7329,162.9
79.375,159.506
85.5391,156.433
89.1245,155.037
95.25,152.702
103.192,149.31
111.125,145.899
119.402,141.167
128.512,138.339
133.791,137.502
139.095,136.827
148.687,134.894
158.247,132.805
167.821,130.78
173.869,129.268
181.653,129.806
185.208,136.071
184.452,139.851
177.28,144.795
169.299,148.374
161.018,151.19
152.755,152.76
144.394,153.721
136.071,154.97
128.127,156.828
120.196,158.75
111.379,160.521
102.555,162.259
93.7381,164.042
86.5716,166.729
79.375,169.333
73.3371,170.15
67.2798,170.845
60.1156,173.362
53.2105,176.536
46.869,180.673
45.3571,185.208
43.8452,188.988
45.212,197.508
51.1989,203.92
58.8675,208.269
67.2798,210.911
75.0648,211.623
82.889,211.656
90.7143,211.667
99.7857,212.423
107.186,209.971
114.08,206.306
120.952,202.595
128.512,199.571
134.581,195.827
140.607,192.012
149.15,188.223
158.135,185.661
167.394,184.398
176.738,184.49
185.964,185.964
193.754,187.886
200.327,192.012
199.571,194.28
199.571,197.304
198.06,199.571
193.657,204.532
187.476,207.131
179.917,210.155
171.133,211.112
162.29,211.249
153.458,211.667
143.841,213.192
134.275,215.016
124.732,216.958
115.63,218.857
106.613,221.113
97.8615,224.226
89.9583,229.054
86.9345,235.857
84.6667,238.881
84.2562,247.119
90.2065,252.958
98.2738,255.512
106.12,255.955
113.961,255.35
121.708,254.0
128.171,252.238
134.56,250.22
139.095,248.708
146.655,248.708
155.726,249.464
165.166,251.201
174.478,253.528
183.461,256.883
190.5,263.071
186.72,269.875
185.964,272.899
180.673,279.702
177.097,284.439
173.113,286.506
